TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201213,10006,S1,96, 61.18,   5.21,  22.92,  28.13,  30.21,   9.38,   1.04,   3.13,  98.00,    .00,   2.00
201213,10007,S2,225, 73.00,  40.89,  25.78,  17.33,   8.44,   4.00,   1.33,   2.22,  20.00,  80.00,    .00
201213,10008,S2,99, 65.21,  19.19,  26.26,  19.19,  18.18,  14.14,   1.01,   2.02,  15.00,  85.00,    .00
201213,10009,S2,95, 65.32,  24.21,  27.37,  17.89,  14.74,   7.37,   4.21,   4.21,   5.00,  90.00,   5.00
201213,10012,S1,96, 57.68,   9.38,  17.71,  19.79,  20.83,  21.88,   8.33,   2.08,  10.00,  90.00,    .00
201213,10014,S2,87, 67.63,  20.69,  37.93,  19.54,  10.34,   5.75,   1.15,   4.60,    .00, 100.00,    .00
201213,10016,S1,91, 60.40,  15.38,  19.78,  23.08,  18.68,   7.69,  12.09,   3.30,  10.00,  90.00,    .00
201213,10018,1,12, 71.33,  16.67,  41.67,  25.00,   8.33,   8.33,    .00,    .00,    .00, 100.00,    .00
201213,10020,1,55, 66.45,  30.91,  21.82,  20.00,   9.09,   7.27,   5.45,   5.45,  10.00,  90.00,    .00
201213,10021,S1,27, 84.15,  70.37,  22.22,   3.70,    .00,    .00,    .00,   3.70,  10.00,  90.00,    .00
201213,10025,1,5, 70.40,  20.00,  20.00,  40.00,  20.00,    .00,    .00,    .00,    .00, 100.00,    .00
201213,10026,1,82, 64.11,   1.22,  36.59,  36.59,  18.29,   3.66,   2.44,   1.22,  90.00,    .00,  10.00
201213,10029,S1,26, 69.88,  15.38,  46.15,  19.23,  11.54,   7.69,    .00,    .00,  20.00,  80.00,    .00
201213,10030,S2,30, 68.83,  33.33,  20.00,  16.67,  23.33,   3.33,    .00,   3.33,  10.00,  90.00,    .00
201213,10031,S2,27, 77.04,  55.56,  18.52,  14.81,   3.70,   3.70,   3.70,    .00,  20.00,  80.00,    .00
201213,10032,S1,35, 51.46,   5.71,   8.57,  22.86,  20.00,  17.14,  20.00,   5.71,    .00,    .00,    .00
201213,10033,S2,31, 57.71,  19.35,  25.81,  16.13,   6.45,  12.90,   6.45,  12.90,  25.00,  75.00,    .00
201213,10034,S1,20, 62.80,  20.00,  20.00,  20.00,  25.00,  10.00,    .00,   5.00,    .00, 100.00,    .00
201213,10035,S2,19, 73.63,  36.84,  26.32,  26.32,   5.26,   5.26,    .00,    .00,    .00, 100.00,    .00
201213,10037,S2,2, 74.00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10039,S2,2, 74.00,    .00, 100.00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10040,1,22, 71.73,  22.73,  27.27,  45.45,   4.55,    .00,    .00,    .00,  20.00,  80.00,    .00
201213,10042,1,6, 80.00, 100.00,    .00,    .00,    .00,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10064,S1,232, 57.11,   7.76,  16.81,  23.71,  23.71,  18.10,   4.74,   5.17,  20.00,  80.00,    .00
201213,10065,S2,225, 57.72,   9.78,  20.89,  24.44,  17.78,  16.44,   3.56,   7.11,  30.00,  70.00,    .00
201213,10066,S1,266, 63.61,   6.39,  25.56,  36.84,  20.30,   8.65,   2.26,    .00,  20.00,  65.00,  15.00
201213,10067,S2,14, 43.57,    .00,    .00,  21.43,  21.43,  35.71,   7.14,  14.29,  10.00,  90.00,    .00
201213,10068,S1,110, 60.49,   4.55,  27.27,  25.45,  23.64,  11.82,   5.45,   1.82,  50.00,  50.00,    .00
201213,10070,S2,127, 50.22,    .79,   7.09,  25.20,  26.77,  22.83,   9.45,   7.87,  40.00,  60.00,    .00
201213,10071,S1,217, 62.42,  14.75,  24.42,  23.50,  17.05,  11.98,   3.69,   4.61,  20.00,  80.00,    .00
201213,10072,S1,126, 63.77,    .79,  26.98,  57.14,  11.90,   1.59,    .79,    .79,  30.00,  70.00,    .00
201213,10073,S2,13, 66.15,   7.69,  46.15,  23.08,    .00,  15.38,   7.69,    .00,  40.00,  60.00,    .00
201213,10074,S1,120, 55.98,    .83,   8.33,  25.83,  40.00,  20.00,   5.00,    .00,  20.00,  80.00,    .00
201213,10075,S2,243, 65.29,   7.41,  40.74,  22.63,  16.87,   9.47,   2.06,    .82,  30.00,  70.00,    .00
201213,10076,S2,121, 60.52,   4.96,  20.66,  37.19,  19.83,  12.40,   2.48,   2.48,  15.00,  70.00,  15.00
201213,10077,S1,62, 55.37,   3.23,  11.29,  19.35,  41.94,  17.74,   6.45,    .00,  30.00,  70.00,    .00
201213,10078,S2,23, 58.96,    .00,   8.70,  52.17,  30.43,   8.70,    .00,    .00,  30.00,  70.00,    .00
201213,10079,S2,192, 61.42,    .00,  10.42,  57.29,  25.52,   5.73,    .52,    .52, 100.00,    .00,    .00
201213,10083,S1,116, 64.33,    .00,  25.86,  56.03,  17.24,    .86,    .00,    .00,  30.00,  70.00,    .00
201213,10085,S2,58, 63.45,    .00,  24.14,  56.90,  12.07,   5.17,   1.72,    .00,    .00,  60.00,  40.00
201213,10087,S2,109, 60.94,  11.01,  20.18,  33.03,  14.68,  15.60,   1.83,   3.67,  10.00,  90.00,    .00
201213,10089,S1,145, 58.31,   8.28,  15.86,  23.45,  20.69,  24.83,   4.14,   2.76,  20.00,  80.00,    .00
201213,10109,S2,135, 61.36,    .00,  20.00,  45.93,  25.19,   6.67,   2.22,    .00,  30.00,  70.00,    .00
201213,10112,S1,48, 62.65,   6.25,  18.75,  33.33,  39.58,    .00,   2.08,    .00,    .00,    .00,    .00
201213,10113,S2,19, 59.63,  10.53,  21.05,  15.79,  26.32,  15.79,  10.53,    .00,  40.00,  60.00,    .00
201213,10115,S2,101, 52.35,    .99,   6.93,  22.77,  30.69,  29.70,   7.92,    .99,    .00,  85.00,  15.00
201213,10123,S2,144, 65.26,   4.86,  31.25,  40.28,  14.58,   9.03,    .00,    .00,  30.00,  70.00,    .00
201213,10124,S1,77, 61.84,    .00,  20.78,  46.75,  22.08,   7.79,   2.60,    .00,  30.00,  70.00,    .00
201213,10129,S1,270, 65.84,   1.48,  35.93,  45.19,  12.96,   2.22,    .74,   1.48,  66.67,  33.33,    .00
201213,10130,S2,231, 63.89,    .00,  10.82,  80.09,   6.93,   1.30,    .43,    .43, 100.00,    .00,    .00
201213,10134,S1,14, 54.64,    .00,  14.29,  50.00,  14.29,   7.14,   7.14,   7.14, 100.00,    .00,    .00
201213,10136,S1,70, 57.37,   1.43,  20.00,  22.86,  30.00,  18.57,   5.71,   1.43,  30.00,  70.00,    .00
201213,10152,S2,59, 50.76,   1.69,   6.78,  18.64,  32.20,  25.42,  13.56,   1.69,  30.00,  70.00,    .00
201213,10153,1,81, 61.64,    .00,  19.75,  48.15,  28.40,    .00,    .00,   3.70,  30.00,  70.00,    .00
201213,10154,S2,165, 60.24,    .00,   2.42,  56.36,  40.61,    .00,    .00,    .61,  30.00,  70.00,    .00
201213,10155,S1,73, 60.47,   4.11,  20.55,  31.51,  27.40,  10.96,   2.74,   2.74,  30.00,  70.00,    .00
201213,10156,S1,153, 61.25,    .00,  20.26,  46.41,  24.84,   5.88,   1.31,   1.31,  30.00,  70.00,    .00
201213,10161,S1,81, 61.17,   4.94,  19.75,  35.80,  34.57,    .00,   1.23,   3.70,  30.00,  70.00,    .00
201213,10162,S2,95, 53.35,    .00,   7.37,  25.26,  29.47,  29.47,   8.42,    .00,    .00,  70.00,  30.00
201213,10163,S2,138, 64.33,    .00,  15.22,  68.84,  13.77,   1.45,    .00,    .72,  30.00,  70.00,    .00
201213,10165,S1,85, 60.19,    .00,  15.29,  36.47,  47.06,    .00,   1.18,    .00,  30.00,  70.00,    .00
201213,10166,S2,109, 64.52,   2.75,  33.03,  38.53,  21.10,   3.67,    .00,    .92,  15.00,  70.00,  15.00
201213,10168,S2,106, 62.45,    .00,   9.43,  59.43,  30.19,    .94,    .00,    .00,  75.00,    .00,  25.00
201213,10172,S1,26, 59.23,    .00,  19.23,  57.69,  15.38,    .00,    .00,   7.69,  40.00,    .00,  60.00
201213,10173,S2,19, 61.63,    .00,    .00,  63.16,  36.84,    .00,    .00,    .00, 100.00,    .00,    .00
201213,10181,S1,31, 65.06,  12.90,  25.81,  38.71,   9.68,   3.23,   9.68,    .00,    .00,  60.00,  40.00
201213,10189,S2,78, 63.14,   5.13,  17.95,  53.85,  15.38,   3.85,   1.28,   2.56, 100.00,    .00,    .00
201213,10194,S2,10, 55.80,  20.00,  20.00,  10.00,  30.00,    .00,  10.00,  10.00, 100.00,    .00,    .00
201213,10203,S1,29, 59.45,   6.90,  17.24,  44.83,  20.69,   3.45,    .00,   6.90, 100.00,    .00,    .00
201213,10206,S2,56, 58.82,   5.36,  16.07,  33.93,  32.14,   8.93,    .00,   3.57,    .00, 100.00,    .00
201213,10214,S1,48, 72.33,  29.17,  43.75,  14.58,   8.33,    .00,   4.17,    .00,  15.00,  70.00,  15.00
201213,10234,S2,36, 58.53,    .00,   2.78,  44.44,  36.11,  11.11,   5.56,    .00,  50.00,  50.00,    .00
201213,10237,S2,57, 59.44,    .00,   5.26,  47.37,  33.33,  14.04,    .00,    .00,  50.00,    .00,  50.00
201213,10241,S1,38, 55.18,    .00,   5.26,  44.74,  28.95,   7.89,  10.53,   2.63, 100.00,    .00,    .00
201213,10245,S1,27, 58.96,    .00,   7.41,  48.15,  33.33,   7.41,   3.70,    .00,  50.00,  50.00,    .00
201213,10253,S2,54, 61.61,    .00,   7.41,  59.26,  25.93,   7.41,    .00,    .00,  50.00,  50.00,    .00
201213,10254,S1,49, 60.06,    .00,   8.16,  61.22,  22.45,   6.12,    .00,   2.04,  50.00,  50.00,    .00
201213,10258,S1,35, 60.97,    .00,   8.57,  54.29,  31.43,   5.71,    .00,    .00,  50.00,  50.00,    .00
