TERM_CODE,CRN,PART_TERM,NO_STUDENTS,AVG_MARK,MARK_100_80,MARK_79_70,MARK_69_60,MARK_59_50,MARK_49_40,MARK_39_25,MARK_24_0,ASSESS_EXAM,ASSESS_CRSE,ASSESS_OTHER
201314,10016,S1,128,  58.63,  10.16,  16.41,  26.56,  20.31,  14.84,   7.81,   3.91,  90.00,  10.00,    .00
201314,10021,S1,42,  83.31,  71.43,  16.67,   7.14,   2.38,   2.38,    .00,    .00,  90.00,  10.00,    .00
201314,10029,S1,57,  68.26,  14.04,  42.11,  24.56,   7.02,  10.53,    .00,   1.75,  80.00,  20.00,    .00
201314,10032,S1,50,  53.36,  12.00,   6.00,  26.00,  14.00,  18.00,  16.00,   8.00, 100.00,    .00,    .00
201314,10034,S1,33,  62.36,  15.15,  18.18,  24.24,  15.15,  27.27,    .00,    .00, 100.00,    .00,    .00
201314,10064,S1,290,  53.06,   1.03,  16.55,  25.86,  23.10,  17.93,   7.93,   7.59,  80.00,  20.00,    .00
201314,10066,S1,310,  62.48,   2.26,  26.77,  40.00,  21.94,   3.87,   2.58,   2.58,  76.47,  23.53,    .00
201314,10068,S1,118,  59.10,    .85,  10.17,  47.46,  33.05,   1.69,   3.39,   3.39,  50.00,  50.00,    .00
201314,10071,S1,277,  60.81,  15.52,  24.91,  18.77,  15.88,  13.36,   6.14,   5.42,  80.00,  20.00,    .00
201314,10072,S1,118,  60.53,    .00,  16.95,  55.08,  22.03,   1.69,    .00,   4.24,  70.00,  30.00,    .00
201314,10074,S1,156,  55.53,   1.92,   6.41,  30.77,  37.18,  15.38,   8.33,    .00,  80.00,  20.00,    .00
201314,10077,S1,70,  51.23,   4.29,  12.86,  17.14,  24.29,  17.14,  14.29,  10.00,  70.00,  30.00,    .00
201314,10083,S1,125,  60.58,    .00,  20.00,  44.00,  29.60,   3.20,    .80,   2.40,  70.00,  30.00,    .00
201314,10089,S1,158,  50.69,   1.90,   9.49,  19.62,  22.78,  29.11,  11.39,   5.70,  80.00,  20.00,    .00
201314,10112,S1,56,  60.09,    .00,  26.79,  42.86,  16.07,  12.50,    .00,   1.79,  80.00,    .00,  20.00
201314,10129,S1,122,  73.82,  18.85,  66.39,  11.48,    .00,   2.46,    .82,    .00,  33.33,  66.67,    .00
201314,10134,S1,21,  63.57,  14.29,   9.52,  47.62,   9.52,  19.05,    .00,    .00,    .00, 100.00,    .00
201314,10136,S1,96,  59.69,   2.08,  23.96,  23.96,  34.38,  10.42,   2.08,   3.13,  70.00,  30.00,    .00
201314,10155,S1,122,  63.03,  16.39,  18.85,  22.13,  26.23,   8.20,   8.20,    .00,  70.00,  30.00,    .00
201314,10156,S1,227,  62.41,    .44,  25.55,  44.49,  21.15,   4.41,   3.08,    .88,  70.00,  30.00,    .00
201314,10161,S1,102,  65.92,    .00,  38.24,  47.06,  11.76,    .98,    .00,   1.96,  70.00,  30.00,    .00
201314,10165,S1,98,  52.73,    .00,   1.02,  32.65,  37.76,  15.31,  11.22,   2.04,  70.00,  30.00,    .00
