id	nameoflecturers	commentonassesmentdata	commentonmoduleevaluation	responserate	expandasappropriate	feedbackavaiabletostudents	effectivenessofchanges	nextenhancements	roleonmodule	submit	staffid	staffname	timecompleted	assessexam	assesscoursework	assessother	deviate	updatespecification	studentsprepared	learningresourcesupport	studentprogress	feedbacktimely
MATH1001	Dr James Renshaw	The exam was perhaps a bit too easy and too similar to previous years. As a result there were too many marks of 80%+.	During week 4 there was a definite reaction by some of the class to me going too fast. As a result I stopped using the pre-prepared slides and used the blackboard instead. This was slower and as a result the slides and tutorials started to get out of sync'. In hindsight I feel I ended up focussing too much on the weaker students (of which there are more than normal) at the expense of the more able student.	34%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><ul>  <li>Number Theory</li>  <li>Divisibility, least common multiples, Euclid's algorithm.</li>  <li>Integer solutions of ax + by = c.</li>  <li>Prime numbers and prime-power factorisations, irrational numbers.</li>  <li>Existence of infinitely many primes.</li>  <li>Modular arithmetic, linear congruences. Chinese Remainder Theorem.</li>  <li>Fermat's Little Theorem.</li>  <li>Units, Euler's function, Euler's Theorem.</li>  <li>Pythagorean triples & Fermat's Last Theorem.</li>  <li>The construction of the rational numbers as the field of fractions of the intergers</li>  <li>Cryptography</li>  <li>Substitution ciphers, letter-frequency analysis.</li>  <li>Vigenere cipher, Babbage-Kasiski deciphering.</li>  <li>Diffie-Hellman-Merkle and Rivest-Shamir-Adleman key exchange systems.</li>  </ul>	Focus more on the able students whilst nor losing sight of those who may be struggling. Alter the weekly tutorial sheets so that more questions are marked each week but fewer (compulsory) questions are given out.    Next year I will move the early cipher type questions to the web (using the cipher challenge machinery) and aim to do slightly more theory at the end.	Module lead	Save and Submit	1304917	Dr James Renshaw	1396946389	70	20	10	no	no	yes	yes	yes	yes
MATH1004	Dr Ruben Sanchez Garcia, Dr Jamie Foster	Most students submitted coursework regularly and obtained good marks (average 62). The class test results were also good.     The exam results are generally good (average 54), although there was a peak of students at the lower end of the scale (less than 30 marks). As the exam questions are very standard (virtually all the same to similar exercises seen in class and in coursework) this may correspond to under-prepared and/or students not engaging well with the course (see remarks on attendance below).    Some students complaint about pre-requisites, in both directions	Only 37.7% responded to the questionnaire, despite three email reminders. Most students who did the questionnaire found the course well-organised, the material well-explained with good quality notes and plenty of opportunities for questions. The tutorials were highly valued, in particular the opportunities for individual help. Both lectures scored high, and the module overall mark was above 4. 	20%	Only about half of the registered students came to lectures, and about a third to a quarter to the tutorials.	We sent an email to all the students via Blackboard (email available on request).	The course was very similar to the one last year. 	"The lecture notes need some updating. They can be streamlined, and more examples of different degree of difficulty can be included. The delivery of the material could be faster in some sections, and should be slower in parts were students struggled most.     Coursework should include a marking scheme.    The exam could be shorter, as some students seem not able to finish within 2 hours.     The grand challenge is to make the course more interesting and engaging, so that more students come to lectures and tutorials, while dealing with a vast difference of mathematical background. Perhaps organising the material (lecture notes, coursework etc) into ""essential"", ""desirable"", etc."	Module lead	Save and Submit	2086425	Dr Ruben Sanchez Garcia	1394539746	80	10	10	no	no	yes	yes	yes	yes
MATH1006	Prof Nils Andersson	Average and marks distribution fine without any scaling or particular tweaking.    The exam seems to have gone well overall. There was an unfortunate typo in the exam paper where a partial fraction required complex roots. In theory the students should have been able to deal with that, but I appreciate that it took the solution a little further than intended. To ensure that no one was punished by this typo I altered the marking scheme and awarded only method marks for that part of the question. Having considered the results, I believe this was the right thing to do. Overall, many students did well on the exam. Some did not, although there was only a small number of fails.  	 Although the average score was ok, the exam showed that there are a gaps in the knowledge. I was particularly surprised to find that some of you could not deal with the simple angular momentum question A1, which was very similar to a problem we did in revision. The score on A2, which involved finding complex roots to a quartic (again a problem we pretty much did in revision), was not impressive. However, one should keep in mind that the complex number section was added to the syllabus this year so there was perhaps not the same amount of revision problems available for this. At this point in marking the exam I was concerned, because the first two problems really did not go as well as intended. However, after this this the standard of the student's solutions improved and in the end I think the exam went very well. Some students did spectacularly well.	24%	N.A.	Feedback was included on the blackboard page for the module and the students were informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p>Basic vector algebra, cross and dot product, geometrical and physical applications.<br /> <br />Matrices and determinants, inverse of a matrix, using matrices to solve simultaneous equations.<br /> <br />Eigenvalue problems in 2 dimensions.<br /> <br />Solving quadratic equations, factorising higher order polynomials. </p>  <p> </p>  <p>From 2013-14: Complex numbers, powers of i, Argand diagrams, modulus and argument of a complex number, complex conjugates. The algebra of complex numbers: addition, subtraction, multiplication and division in both Cartesian and polar form.</p>  <p><br />Specifying a function, its domain and range. Composition of functions. Graphs of functions. One-to-one functions, inverse functions and their graphs. Even and odd functions, periodic functions, trigonometric functions, inverse trigonometric functions.<br /> </p>  <p>From 2013-14: Complex exponentials and trigonometric functions. De Moivre's Theorem, calculating powers and roots, and solving equations. </p>  <p><br />Informal definition of a limit, rules for evaluating limits, infinite limits.<br /> <br />Rules for differentiation, higher derivatives, critical points and applications to graph sketching. Exponential and natural logarithm functions, power functions, hyperbolic functions, inverse hyperbolic functions and their derivatives. Derivatives of vectors.<br /> <br />L'H'opital's Rule, Taylor series expansions and remainder terms.<br /> Integration, the Fundamental Theorem of Calculus, indefinite integrals, methods of integration, partial fractions, integration by parts.<br /><br /></p>  <p><strong></strong></p>  <p>Unitl 2012-13: Functions of two and more variables, partial derivatives of first and higher order. Chain rules. Transformations of second derivatives. Surfaces and critical points.</p>  <p><strong> </strong></p>  <p> </p>	The complex number sections needs to be integrated better in the material next year, with explicit examples to show the students what the use is.	Module lead	Save and Submit	1497278	Prof Nils Andersson	1395062759	80	20	0	no	no	yes	yes	yes	yes
MATH1007	Dr David Jones		The students were very happy with the lecture notes and the lecturing.  Some students commnted that some of the problem sheets were too difficult.	43%		Feedback has been included on the blackboard page for the module and the students have been  informed of this by email.	This year it was necessary for me to give a brief lecture on the basics of complex numbers, as some students had not seen this material before.  However, a change will be made to MATH1008 for 2014-15 to eliminate this requirement.	Some small adjustments could be made to the question sheets, to reduce the amount and difficulty of some of the assignments.	Module lead	Save and Submit	1523473	Dr David Jones	1405352003	80	20	0	no	no	yes	yes	yes	yes
MATH1008	Dr Daniel Nucinkis	Overall very well. 64.4 Average, only 8  students fail, including several who didn't take the exam suggesting that those that engaged with the material did well. The element of choice in the final exam clearly leads to selective learning: students know that they can focus on a part of the material and still pass: question B3 was attempted only by 1 in 4 students.    	Mostly 4-5, good results. Exceptions: Usefulness of feedback: largest number gave 3.    In written comments, most of the complaints were about tutorials (tutorial staff unapproachable or not engaging, not enough feedback on written work, questions harder than in lectures) or the level of delivery (either too fast or too slow, too hard or too easy).    The fast/slow problem is always a problem: some students' background is excellent and they're not challenged enough, some students' is weaker and they struggle.     Tutorial staff need clearer instruction on feedback, which I will implement next year, but this is a perennial problem. Approachability and similar issues is something that may need to be addressed at a higher level.      The weekly work  is  in part harder than  the examples done in class; this is to challenge the more able students, and to take all students beyond the basics.     	73%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p>Basic vector algebra, cross and dot product, geometrical and physical applications.<br /> <br />Matrices and determinants, inverse of a matrix, using matrices to solve simultaneous equations.<br /> <br />Solving quadratic equations, factorising higher order polynomials. Specifying a function, its domain and range. Composition of functions. Graphs of functions. One-to-one functions, inverse functions and their graphs. Even and odd functions, periodic functions, trigonometric functions, inverse trigonometric functions.<br /> <br />Informal definition of a limit, rules for evaluating limits, infinite limits.<br /> Rules for differentiation, higher derivatives, critical points and applications to graph sketching. Method of least squares. Exponential and natural logarithm functions, power functions, hyperbolic functions, inverse hyperbolic functions and their derivatives. L'H'pital's Rule, Taylor series expansions. <br /> <br />Integration, the Fundamental Theorem of Calculus, indefinite integrals, methods of integration, partial fractions, integration by parts.<br /> <br />Functions of two and more variables, partial derivatives of first and higher order. Chain rules. Transformations of second derivatives. Surfaces and critical points. Derivatives of vectors.</p>      No changes were made.	Better feedback, make clear to students why the weekly work includes more challenging questions.	Module lead	Save and Submit	1473263	Dr Daniel Nucinkis	1396266457	80	20	0	no	no	yes	yes	yes	yes
MATH1009	Prof Peter Kropholler	Only a few students answered the survey.  	Students don't like digressions and prefer use of whiteboard rather than powerpoint slides. They comment that I sometimes dwell on easier material, although it is clear in some cases that that is exactly what needs to be reinforced.	8%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><p>1 <strong>Complex Numbers</strong>. Addition and, multiplication of complex numbers, division of complex numbers, complex conjugate. Argand diagram, complex numbers in polar form, multiplying complex numbers in exponential form, dividing complex numbers in exponential form, calculating powers, de Moivre's theorem, applications of de Moivre's theorem, solving equations.<br /> <br />2 <strong>Differential Equations</strong>. Separable first order equations. First order linear equations. Bernoulli's equation. The harmonic oscillator. Forced and damped oscillations. Second order linear equations. Dynamics: energy, force and Newton's law. Vibrations of the diatomic molecule.<br /> <br />3 <strong>Multiple integrals.</strong> Definitions of double and triple integrals. Cartesian, polar, cylindrical and spherical polar coordinates. Volume and mass. Computing double and triple integrals.<br /> <br />4 <strong>Vectors and Matrices</strong>. Addition, multiplication, transpose. Determinants (mainly 2x2 and 3x3). Properties of determinants. Simultaneous equations and matrix inversion. Gaussian elimination. Matrix representations of rotations and reflections. Eigenvectors and eigenvalues. Orthogonality; diagnonalisation. Systems of linear differential equations.</p>	The beamer presentation slides should be useful for revision and can be improved during this summer.	Module lead	Save and Submit	2223309	Prof Peter Kropholler	1400498666	80	20	0	no	no	yes	yes	yes	yes
MATH1024	Dr Vesna Perisic, Prof Jonathan Forster	The assessment results were broadly in line with expectations for this module.  	There was a (not unusual) mix of messages from the evaluations, with the overall balance being positive. One thing which we need to consider for next year is clearer communication between the lecturers and the students on how the course is split between the lecturers and which parts of the syllabus are being covered by each lecturer. Another comment which arose more than once referred to the volume of material on the lecturer slides and the speed with which material was presented. This will be reviewed for next year.	56%		Feedback was included on the blackboard page for the module and the students were informed of this by email automatically.  	MINITAB was replaced by R this year. This was a success. It provides the students with a more useful skill,  one they are more likely to use going forward. The students rose to the challenge of learning a less intuitive software and generally used it very effectively in their project work.    We also gave the module a more mathematical and theoretical treatment this year (within the same syllabus). This was designed to make the transition to level 2 modules easier for the students. The assessment performances indicate that the students found these aspects tough. Consideration will be given as to how the more theoretical material can be most effectively taught.    A Facebook group was set up for the students to communicate with each other and with lecturers. This seemed to be successful and will be continued next year (but closed so that non-participants on the module cannot be disruptive)	See our responses to 2 and 11 above.	Module lead	Save and Submit	1362704	Prof Jonathan Forster	1405696115	70	20	10	no	no	yes	yes	yes	yes
MATH1048	Dr Daniel Nucinkis	A significant number of failing marks: 53 (18%) even after scaling. Sixteen of these had marks 20 or below, so clearly were either out of place and/or not engaging with the material. It would be interesting to see how many failed students here and on other modules in semester one came in via clearing. 	Mostly fine: 4-5. Some complaints about lecturer's writing: 2-3. Feedack: more 3.    Module is seen as too hard, delivered too fast, with too much material, by a significant minority.     Feedback is always an issue: they don't like that we don't mark everything they do. Similarly that the module is too packed. I also feel there is too much materials to cover, which could be reduced. 	168%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	The current syllabus is:<br /><ul>  <li>Vectors in R<sup>n</sup>: examples from R?, equations of lines and planes in R?.</li>  <li>Systems of linear equations, Gaussian elimination.</li>  <li>Matrix algebra: nxm matrices, sums, products, transpose, inverse of an nxn matrix, matrix equations.</li>  <li>Determinants, cofactor definition of the inverse, proof that detA=0 if and only if A invertible.</li>  <li>Properties of R<sup>n</sup>, subspaces of R<sup>n</sup>, span, null space and column space of a matrix, direct product (quick introduction).</li>  <li>Equivalence relations, equivalence classes.</li>  <li>Linear independence of vectors in R<sup>n</sup>.</li>  <li>Scalar product and geometrical applications.</li>  <li>Vector product and applications in R?.</li>  <li>Linear transformations in R<sup>n</sup>, examples in R? and R?.</li>  <li>Eigenvalues and eigenvectors.</li>  <li>Symmetric matrices, diagonalisation of quadratic forms.</li>  </ul>  <p> </p>  <p>Throughout the module, theorems will be proved. When a method of proof (e.g. proof by induction, proof by contradiction) is first used it will be introduced thoroughly.</p>    No changes.	A curriculum review with MATH1049 might be a good idea. Move some material to semester two.	Module lead	Save and Submit	1473263	Dr Daniel Nucinkis	1396268058	70	20	10	no	no	yes	yes	yes	yes
MATH1049	Dr Bernhard Koeck	The overall average has been lower than in previous years, but the performance at the top end of the class has been even more convincing than in previous years. The averages 47% for Part A and 56% for the (bookwork!) Question B2 and also the homework average 52% are particularly low. As to Part A, I appreciate that two or three of the multple-choice questions may have been too hard. The average for Question B2 was dragged down by part (d) about diagonalisibility which was new, but not unduely hard. Given that the attendance in tutorials and lectures was low this year and that the pile of uncollected tutorial sheets is probably three times as big than in previous years, I conclude that many students haven't taken studying during the semester seriously enough which resulted in the low homework average. 	I am very happy with the evaluation results. The students are particularly happy with the online lecture notes, with the feedback provided, with the organisation of the module and with my blackboard cleaning technique. Many students struggle with the more abstract content of the module. 	95%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	Using the online voting system Pingo at the start of each lecture turned out to be too awkward in terms of firing up the computer and the relevant software, so I abonded this at after a couple of weeks, but did use it again extensively in the revision week. 	If the overall academic standard of our students is not as good anymore as in previous years, then some abstract and hard bits of the syllabus may need to be cut out. 	Module lead	Save and Submit	1594141	Dr Bernhard Koeck	1402933448	70	20	10	no	no	yes	yes	yes	yes
MATH1050	Dr Nicholas Wright	Given that this module is often regarded as the most challenging of the first semester modules in year one, it is very pleasing how well the students performed overall.	The students' comments indicate that they find this module very challenging, especially coming at this straight from A-level.  However the overall ratings indicate that students are appreciating the efforts put in to help the students succeed at this module, albeit with some considerable work on their part.	91%		Feedback will be included on the blackboard page for the module and the students will be informed of this by email within one week of the relevant exam board.	There were no significant changes to the module this year.	This module will nest year become the first part of the year-long Calculus module.  Given this significant change it makes sense to keep the material as similar as possible to this year.  One possible change would be to move to a system where alternate exercise sheets are marked in full, in place of partial marking of each exercise sheet.	Module lead	Save and Submit	1771124	Dr Nicholas Wright	1409823814	70	20	10	no	no	yes	yes	yes	yes
